,solution,total_area_kmsq,good_hab_mean_pct,area_unfenced_mean_pct,area_fenced_mean_pct,cons_lands_mean_pct,FB_richness_max_mean,accessibility_max_mean
1,1,81.95556702,22.5240261,85.81424437,14.01916593,34.07023833,2.04,4.357142857
2,2,76.70760665,22.7456245,83.63320781,16.20765506,33.48580123,1.904761905,4.342105263
3,3,76.83573768,27.87925367,79.18834436,20.64498635,41.58385839,2.130434783,4.307692308
4,4,79.19596588,25.95726632,81.90004142,17.94114358,35.73072516,2.2,4.418604651
5,5,82.20959372,23.12851564,85.25988239,14.57647678,37.44568352,1.9,4.30952381
6,6,77.52528371,26.36025988,79.69298946,20.14306689,37.50578481,2.041666667,4.205128205
7,7,89.61502194,26.23395581,81.0844769,18.75353407,38.54007026,2.08,4.377777778
8,8,89.42696092,20.79118054,81.10511153,18.74150073,36.32734281,2.043478261,4.488888889
9,9,84.47128523,23.83790785,83.61023262,16.22010427,39.28206156,1.84,4.302325581
10,10,81.81405594,25.11433451,80.87003475,18.96092749,38.72468831,2.090909091,4.317073171
11,11,86.56013998,19.38622008,82.56249561,17.28090325,35.4543015,1.863636364,4.409090909
12,12,85.85483136,17.90560003,87.84414523,12.00032042,31.64832361,1.909090909,4.522727273
13,13,88.59398383,21.08239498,81.0984523,18.73927766,35.52251434,1.84,4.340909091
14,14,93.59108664,28.85390407,80.14970789,19.68679416,39.08666943,2.346153846,4.304347826
15,15,82.35931697,27.47263361,80.58428449,19.25481862,35.38646742,2.153846154,4.476190476
16,16,78.84846734,19.42168212,88.60948009,11.23148524,35.63808361,1.958333333,4.365853659
17,17,90.63638498,24.79753709,86.33589089,13.50533491,31.88206716,1.833333333,4.434782609
18,18,87.65608192,21.75267298,83.73106687,16.10302,33.53376592,2.130434783,4.444444444
19,19,83.87641818,22.8145019,81.19971409,18.64584606,32.72588084,2.04,4.380952381
20,20,82.19709376,26.32340763,77.55673786,22.2801519,38.31600528,2.409090909,4.333333333
21,21,85.01986641,23.50846752,83.12619218,16.7139357,35.77243038,2,4.302325581
22,22,81.80038488,25.32783576,84.67937008,15.1549307,36.59415044,1.791666667,4.558139535
23,23,90.94622816,24.75220094,81.22163146,18.61325025,41.09167351,2.25,4.434782609
24,24,80.93953128,23.35181405,83.7902581,16.05116475,37.24428178,2.24,4.292682927
25,25,85.45782322,28.07040783,79.43834996,20.40008012,32.65479585,2.259259259,4.227272727
26,26,87.3931523,29.64435198,80.29284861,19.53622958,41.86518314,2.071428571,4.347826087
27,27,83.46778521,27.47629596,79.46968325,20.35724912,35.96616541,2.035714286,4.209302326
28,28,83.56575029,24.54714007,83.4965773,16.34274669,35.54581506,2.041666667,4.333333333
29,29,88.77694525,20.69030191,82.5250933,17.31399224,35.24573634,1.863636364,4.555555556
30,30,89.66728221,20.59271331,82.59192412,17.24341316,30.90860976,1.791666667,4.511111111
31,31,82.57665205,19.1249679,89.20766998,10.6348658,33.13238839,1.916666667,4.5
32,32,86.68371664,26.58829647,77.19308291,22.63330764,38.61696718,2.269230769,4.295454545
33,33,76.83917147,26.18163418,81.70429466,18.13707199,38.08826741,2.095238095,4.525
34,34,86.51811192,21.99984908,81.59534394,18.25342186,32.99693181,1.869565217,4.522727273
35,35,78.72880139,22.14456064,84.80077961,15.04156455,34.25699758,1.782608696,4.5
36,36,92.6518555,22.60913703,81.77936012,18.0708075,32.60638312,2.125,4.52173913
37,37,88.79927121,25.64050415,83.37418052,16.46616308,39.93773743,2.2,4.444444444
38,38,88.36319375,23.3368742,80.11186269,19.71655997,34.2163422,2.222222222,4.244444444
39,39,86.43974729,22.50369117,80.62372046,19.216797,38.92253188,2,4.441860465
40,40,87.48990202,22.62320177,81.85938177,17.985933,36.69787852,2.130434783,4.477272727
41,41,80.24188386,24.59618906,84.64165045,15.1976116,30.59302946,1.857142857,4.463414634
42,42,89.18359355,25.34869303,83.65602082,16.17989496,38.01520267,2.16,4.333333333
43,43,83.00666156,28.50245318,74.98354989,24.8424344,40.09333923,2.166666667,4.166666667
44,44,88.87465995,19.91946862,82.76443233,17.06491119,30.33189118,1.884615385,4.404255319
45,45,79.00453884,25.89860536,81.46196415,18.37708067,37.93972954,2.15,4.5
46,46,87.49416745,24.62022512,79.9491695,19.88155896,35.41845327,2.214285714,4.2
47,47,86.02672595,25.2337214,83.06900827,16.76239611,39.74066701,2,4.372093023
48,48,84.52165811,28.46450701,81.39658901,18.43896918,44.00315145,2.375,4.372093023
49,49,81.27071408,21.73920789,80.61342435,19.21475643,35.60379887,2.086956522,4.243902439
50,50,85.95434264,24.46324344,83.32109541,16.51257822,40.51501263,2.037037037,4.363636364
51,51,95.68989075,30.54979775,76.1225051,23.70770066,42.37550787,2.392857143,4.291666667
52,52,83.13930649,21.54776221,82.96646166,16.87783609,33.37557733,2.090909091,4.5
53,53,94.01822422,25.50293068,77.45803655,22.37920531,34.80729353,2.153846154,4.404255319
54,54,81.16832153,23.26219376,81.45206216,18.38010053,37.42269328,2.208333333,4.372093023
55,55,84.84282043,24.62399232,84.05880248,15.77684261,33.97565211,2.136363636,4.325581395
56,56,83.55605758,22.39087031,82.78982094,17.04350603,35.74669197,2.043478261,4.441860465
57,57,83.70349154,27.12170008,79.51314683,20.31950868,35.26478347,1.833333333,4.285714286
58,58,88.55582191,22.83671434,77.28900539,22.54740576,31.99736028,1.96,4.454545455
59,59,83.112316,28.4638529,75.97911512,23.84805402,44.88350778,2.48,4.181818182
60,60,98.73698916,24.86182869,83.20630468,16.63444519,36.42370926,2,4.36
61,61,84.65092989,23.12521211,80.63641989,19.20460631,38.42437111,2.083333333,4.325581395
62,62,94.30603222,26.60619854,80.81916885,19.02140659,36.84843608,2.36,4.25
63,63,84.66255982,26.46847858,79.80560164,20.0299903,35.63921363,2.08,4.325581395
64,64,87.30334712,23.80451189,81.2144965,18.62024751,39.8588268,2.2,4.318181818
65,65,88.46150491,23.65675307,81.48836818,18.34996698,36.66077573,2.037037037,4.422222222
66,66,98.14367782,27.57727078,78.42933472,21.40505905,37.44068425,2.266666667,4.38
67,67,76.28235914,19.01442339,83.82221893,16.00868846,37.20513254,2.086956522,4.4
68,68,90.29283631,21.1445013,79.05956173,20.78720737,37.30329053,2.25,4.311111111
69,69,84.2934304,27.68612146,74.18460887,25.63646391,37.4902899,2.28,4.139534884
70,70,85.85286587,20.1442986,80.78415923,19.05661589,38.49223094,2,4.348837209
71,71,87.68294468,21.34576955,84.18961469,15.64792248,28.70361131,2.041666667,4.477272727
72,72,93.84582768,24.58162562,80.88413883,18.94518473,35.43437706,2,4.1875
73,73,84.87207752,20.00129106,83.14431839,16.68670205,35.3991088,2.083333333,4.255813953
74,74,82.18868584,22.15305424,81.951359,17.88920632,31.37638981,2.086956522,4.5
75,75,98.69455296,23.35669194,83.44773908,16.39149878,35.66226847,2,4.38
76,76,74.54630611,24.73686038,82.20054978,17.63161476,38.43046967,2.333333333,4.333333333
77,77,77.97362079,21.66583866,82.15810701,17.67820835,37.35413602,2.142857143,4.425
78,78,85.96069925,31.99997182,77.27942961,22.55909161,39.05549726,2.269230769,4.295454545
79,79,79.78345736,25.73654424,82.6574223,17.18176763,36.66777495,1.923076923,4.25
80,80,90.22093285,24.39783126,81.31823917,18.52314557,34.92880744,2,4.347826087
81,81,74.44746044,23.72175803,84.43625332,15.39690727,36.24812361,2.2,4.447368421
82,82,80.57879798,21.46369014,86.25377056,13.58732783,33.89021263,2.083333333,4.5
83,83,85.61598912,29.22825182,81.15652102,18.68522653,39.55724428,2.32,4.279069767
84,84,81.96173283,22.23831092,83.57039189,16.26829478,29.24719062,2.08,4.255813953
85,85,85.02257549,23.6464131,83.44750691,16.38379143,34.2711974,2.08,4.325581395
86,86,76.56545341,22.00059931,85.46472345,14.37742729,39.94707949,2.142857143,4.525
87,87,90.67208738,19.86384912,88.43549161,11.4044677,36.48052521,1.92,4.52173913
88,88,86.47796761,20.1784652,84.22577427,15.61221285,35.18134074,2.260869565,4.302325581
89,89,75.59599029,24.19392977,78.325326,21.50949334,36.89817722,2.095238095,4.435897436
90,90,89.7272686,24.68925777,76.24624272,23.59268303,36.79630078,2.130434783,4.4
91,91,90.06874635,24.73000101,76.01103201,23.81828233,42.82628424,2.222222222,4.288888889
92,92,77.88099209,17.17137357,87.80943848,12.02592547,35.42792819,1.947368421,4.525
93,93,80.27124689,25.28409366,82.53257694,17.30795503,38.49101811,2.142857143,4.487804878
94,94,90.55381765,23.7822027,79.9976541,19.84687907,33.07987669,2.041666667,4.5
95,95,83.19921454,26.18876483,82.38152052,17.45216854,40.85670791,1.884615385,4.285714286
96,96,73.80833366,20.87743467,82.24824164,17.59468508,33.00608674,2,4.526315789
97,97,85.66117615,22.89723495,85.06892053,14.7688906,32.73207189,2.041666667,4.372093023
98,98,81.42520754,25.54868132,77.66485417,22.16457237,36.17480891,2.333333333,4.238095238
99,99,98.4237053,23.36630397,84.84609854,14.9851957,37.16387941,2.2,4.352941176
100,100,84.84163334,26.73109772,81.6344283,18.19926403,37.84638615,2.041666667,4.261904762
